"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"tilde",": a mark ˜ placed especially over the letter n (as in Spanish señor sir) to denote the sound \nʸ\ or over vowels (as in Portuguese irmã sister) to indicate nasality : the mark used to indicate negation in logic and the geometric relation ""is similar to"" in mathematics : the mark used to indicate an approximate value"
"tile",": a flat or curved piece of fired clay, stone, or concrete used especially for roofs, floors, or walls and often for ornamental work : a hollow or a semicircular and open earthenware or concrete piece used in constructing a drain : a hollow building unit made of fired clay or of shale or gypsum : TILING : a thin piece of resilient material (such as cork, linoleum, or rubber) used especially for covering floors or walls : a thin piece resembling a ceramic tile that usually bears a mark or letter and is used as a playing piece in a board game (such as mah-jongg) : HAT : a high silk hat"
"tiles",": a flat or curved piece of fired clay, stone, or concrete used especially for roofs, floors, or walls and often for ornamental work : a hollow or a semicircular and open earthenware or concrete piece used in constructing a drain : a hollow building unit made of fired clay or of shale or gypsum : TILING : a thin piece of resilient material (such as cork, linoleum, or rubber) used especially for covering floors or walls : a thin piece resembling a ceramic tile that usually bears a mark or letter and is used as a playing piece in a board game (such as mah-jongg) : HAT : a high silk hat"
"till",": UNTIL : TO"
"tilt",": to cause to have an inclination : to point or thrust in or as if in a tilt : to charge against"
"tilted",": to cause to have an inclination : to point or thrust in or as if in a tilt : to charge against"
"tilting",": to cause to have an inclination : to point or thrust in or as if in a tilt : to charge against"
"timber",": growing trees or their wood : wood suitable for building or for carpentry : a large squared or dressed piece of wood ready for use or forming part of a structure : LUMBER sense 2a : a curving frame branching outward from the keel of a ship and bending upward in a vertical direction that is usually composed of several pieces united : RIB : MATERIAL, STUFF : a person or type of person qualified for a particular position or status"
"timbers",": growing trees or their wood : wood suitable for building or for carpentry : a large squared or dressed piece of wood ready for use or forming part of a structure : LUMBER sense 2a : a curving frame branching outward from the keel of a ship and bending upward in a vertical direction that is usually composed of several pieces united : RIB : MATERIAL, STUFF : a person or type of person qualified for a particular position or status"
"time",": the measured or measurable period during which an action, process, or condition exists or continues : DURATION : a nonspatial continuum that is measured in terms of events which succeed one another from past through present to future : LEISURE : the point or period when something occurs : OCCASION : an appointed, fixed, or customary moment or hour for something to happen, begin, or end : an opportune or suitable moment : a historical period : AGE : a division of geologic chronology : conditions at present or at some specified period : the present time : LIFETIME : a period of apprenticeship : a term of military service : a prison sentence : SEASON : rate of speed : TEMPO : the grouping of the beats of music : RHYTHM : a moment, hour, day, or year as indicated by a clock or calendar : any of various systems (such as a sidereal or solar system) of reckoning time : one of a series of recurring instances or repeated actions : added or accumulated quantities or instances : equal fractional parts of which an indicated number equal a comparatively greater quantity : TURN : finite as contrasted with infinite duration : a person's experience during a specified period or on a particular occasion : the hours or days required to be occupied by one's work : an hourly pay rate : wages paid at discharge or resignation : the playing time of a game : TIME-OUT sense 1 : a period during which something is used or available for use"
"timed",": done or taking place at a time of a specified sort : made to occur at or in a set time"
"timeframe",": a period of time especially with respect to some action or project"
"timeless",": not restricted to a particular time or date : having no beginning or end : ETERNAL : not affected by time : AGELESS : PREMATURE, UNTIMELY"
"timeline",": an arrangement or occurrence (as of past events) in time : CHRONOLOGY : a visual representation of events associated with a particular period of time arranged chronologically along a line or in a linear format : a schedule of planned events, actions, etc. : TIMETABLE sense 2 : a period of time especially with respect to some project or event : TIME FRAME : a stream of social media posts : FEED sense 3e : a branch of a theoretical multiverse that exists in parallel with other branches"
